Symbol,Name,PricetoBookValue,Gross Profit(Quart),Return on Equity (TTM),Fixed Asset Turnover(Quartl),Earning Yield(forward 1y),Free Cash Flow Yield(TTM),30 D Avg Daily Volume,Momentum Score,Market Cap,Total Returns Price,3M Price Returns (Daily)
A,Agilent Technologies,4.635,59600.0,0.1448,1.602,2.923,0.0307,1401.0,8.0,21360.0,66.36,0.1206
AAALY,Aareal Bank,0.6894,14890.0,0.0666,0.9431,8.719,-0.5655,0.0,5.0,22330.0,37.31,0.0
AABA,Altaba,1.713,57699.0,-0.0005,1.112,0.756,0.0135,6853.0,9.0,60710.0,67.85,0.2443
AAN,Aaron's,2.036,74989.0,0.0946,4.025,5.044,0.0629,9310152.0,9.0,31400.0,44.39,0.1759
AAOI,Applied Optoelectronics,3.652,5328.0,0.3466,0.7435,7.237,0.0379,2360.0,10.0,11230.0,58.17,-0.0537
AAON,AAON,8.564,3168.0,0.2469,0.8338,2.71,0.0214,1326021.0,6.0,18650.0,35.45,-0.0314
AAP,Advance Auto Parts,2.226,99309.0,0.1265,1.577,5.303,0.0453,1766.0,2.0,69650.0,94.29,-0.086
AAR.UN.TO,Pure Industrial,1.264,4064.0,0.1841,1.109,20.34,0.0314,5775524.0,8.0,19850.0,6.49,-0.0399
AAWW,Atlas Air Worldwide Hldgs,1.047,28649.0,0.0387,0.1376,2.699,-0.0736,2466129.0,9.0,16680.0,66.0,0.2011
AAXN,Axon Enterprise,7.667,4564.0,0.114,2.844,1.349,-0.0135,5069836.0,3.0,12530.0,23.72,-0.0531
ABAX,Abaxis,3.904,3194.0,0.1245,1.7,3.044,0.023,1157348.0,4.0,10590.0,46.65,-0.1082
ABB,ABB,3.99,25990.0,0.1664,1.728,3.917,0.0481,1230.0,6.0,53480.0,25.06,0.0101
ABBV,AbbVie,24.01,54160.0,1.192,2.636,4.498,0.0455,7850.0,8.0,144250.0,90.49,0.2615
ABC,AmerisourceBergen,6.906,10800.0,0.3813,22.43,6.654,0.0531,1520.0,4.0,17630.0,80.48,-0.13
ABCB,Ameris Bancorp,2.35,14890.0,0.1215,0.7527,5.877,-0.0722,1790211.0,7.0,18390.0,49.4,0.0102
ABCO,Advisory Board,3.874,9851.0,0.2132,1.261,4.916,0.0285,1616.0,8.0,21930.0,53.9,-0.0055
ABEV,Ambev,7.185,19380.0,0.2585,0.5535,4.046,0.0375,1878.0,5.0,103820.0,6.61,0.2378
ABG,Asbury Automotive Group,4.045,26710.0,0.6031,1.982,12.16,0.0899,168708.0,4.0,12870.0,61.75,0.1279
ABM,ABM Industries,2.866,13390.0,0.0159,13.36,5.305,-0.0104,3350335.0,7.0,27760.0,42.62,0.0513
ABMD,Abiomed,13.6,11061.0,0.1731,1.467,0.9721,0.0089,3059922.0,8.0,77130.0,174.88,0.2495
ABR,Arbor Realty Trust,0.8819,14890.0,0.1306,3.252,13.72,0.1601,2934235.0,6.0,51595.0,8.41,0.0108
ABRTY,Abertis Infraestructuras,6.938,14890.0,0.143,1.104,4.11,0.0742,134927.0,8.0,18500.0,10.15,0.0809
ABT,Abbott Laboratories,3.024,34640.0,0.0469,0.9122,1.164,0.0356,5921.0,8.0,95560.0,55.0,0.1473
ABT.TO,Absolute Software,2.2255000000000003,2633.0,0.0932,3.771,-1.936,-0.0136,4681747.0,7.0,32261.0,8.13,0.045
ABTZY,Aboitiz Equity Ventures,2.781,29752.0,0.161,0.1822,5.687,0.0175,0.0,3.0,80110.0,14.22,0.0
ABX.TO,Barrick Gold,1.937,11880.0,0.2916,0.1668,14.59,0.0699,2412.0,4.0,24260.0,20.81,0.0231
ABY,Atlantica Yield,1.097,27900.0,0.0169,0.0317,4.0,0.1569,3948305.0,6.0,20650.0,20.61,0.0118
ABZPY,Aboitiz Power,2.95,14890.0,0.1963,0.1534,6.591,0.024,0.0,6.0,61370.0,16.68,0.0
AC.TO,Air Canada,6.049,27530.0,1.506,0.435,11.09,0.0636,1843.0,10.0,72410.0,26.69,0.3901
ACC,American Campus,1.721,9612.0,0.0189,0.0316,1.546,-0.0027,6185071.0,4.0,61170.0,44.84,-0.0182
ACCO,ACCO Brands,1.92,16850.0,0.0784,1.735,6.257,0.1051,4734001.0,5.0,13770.0,12.65,0.0858
ACET,Aceto,0.8567,3683.0,0.0312,18.79,2.931,0.1042,5585782.0,2.0,34927.0,11.6,-0.2303
ACGBY,Agricultural Bank China,0.7616,14890.0,0.1411,0.83,25.08,0.4619,40637.0,6.0,152070.0,11.7,0.069
ACGL,Arch Capital Group,1.711,14890.0,0.1135,1.109,5.587,0.1054,6420685.0,6.0,13070.0,99.94,0.0608
ACHC,Acadia Healthcare Co,1.687,30366.0,0.0038,0.255,2.997,0.0211,7565973.0,3.0,40100.0,45.63,-0.0448
ACIW,ACI Worldwide,3.723,12024.0,0.0346,3.089,0.9217,0.0305,3981013.0,7.0,28220.0,23.87,0.1066
ACKAY,Arcelik,2.633,40042.0,0.2671,1.622,10.4,0.0446,2201.0,4.0,43400.0,32.11,-0.1265
ACM,AECOM,1.537,17518.0,0.0735,7.463,5.845,0.1205,7502752.0,6.0,57000.0,36.37,0.1295
